"Country","Male","Female"
"Austria","61.4","61.0"
"Belgium","69.0","70.1"
"Bulgaria","74.8","59.2"
"Croatia","76.1","64.0"
"Cyprus","57.9","64.6"
"Czechia","77.7","72.3"
"Denmark","66.1","69.1"
"Estonia","39.6","71.3"
"Finland","73.0","72.2"
"France","73.1","71.9"
"Germany","70.3","70.8"
"Greece","64.1","63.6"
"Hungary","76.9","66.7"
"Ireland","66.7","68.3"
"Italy","42.8","51.5"
"Latvia","43.8","72.4"
"Lithuania","50.6","74.1"
"Luxembourg","71.5","71.5"
"Malta","52.8","60.2"
"Netherlands","63.8","67.9"
"Poland","76.5","59.0"
"Portugal","72.6","69.3"
"Romania","77.8","60.9"
"Slovakia","78.2","67.1"
"Slovenia","72.2","60.7"
"Spain","65.2","63.9"
"Sweden","64.2","65.7"
"United Kingdom of Great Britain and Northern Ireland","72.1","68.2"
