"Country","Year","Both sexes","Male","Female"
"Austria","2008-2010","10.3","15.4","6.3"
"Austria","2003-2005","10.9","",""
"Belgium","2008-2010","11.0","15.0","6.3"
"Belgium","2003-2005","12.0","",""
"Bulgaria","2008-2010","11.4","17.9","5.3"
"Bulgaria","2003-2005","11.6","",""
"Cyprus","2008-2010","9.2","12.5","5.7"
"Cyprus","2003-2005","8.7","",""
"Czechia","2008-2010","13.0","18.6","7.8"
"Czechia","2003-2005","13.3","",""
"Denmark","2008-2010","11.4","16.1","6.9"
"Denmark","2003-2005","13.4","",""
"Estonia","2008-2010","13.3","19.7","7.1"
"Estonia","2003-2005","13.6","",""
"Finland","2008-2010","12.3","17.5","7.3"
"Finland","2003-2005","12.5","",""
"France","2008-2010","12.2","17.8","7.1"
"France","2003-2005","13.4","",""
"Germany","2008-2010","11.8","16.8","7.0"
"Germany","2003-2005","12.8","",""
"Greece","2008-2010","10.3","14.6","6.2"
"Greece","2003-2005","10.8","",""
"Hungary","2008-2010","13.3","20.4","7.1"
"Hungary","2003-2005","17.1","",""
"Ireland","2008-2010","11.9","16.8","7.1"
"Ireland","2003-2005","14.4","",""
"Italy","2008-2010","6.7","9.7","3.9"
"Italy","2003-2005","10.5","",""
"Latvia","2008-2010","12.3","19.7","6.3"
"Latvia","2003-2005","12.0","",""
"Lithuania","2008-2010","15.4","24.4","7.9"
"Lithuania","2003-2005","14.9","",""
"Luxembourg","2008-2010","11.9","16.8","7.2"
"Luxembourg","2003-2005","13.3","",""
"Malta","2008-2010","7.0","9.7","4.2"
"Malta","2003-2005","5.4","",""
"Netherlands","2008-2010","9.9","14.0","6.0"
"Netherlands","2003-2005","10.1","",""
"Poland","2008-2010","12.5","19.8","5.8"
"Poland","2003-2005","13.0","",""
"Portugal","2008-2010","12.9","18.7","7.6"
"Portugal","2003-2005","14.4","",""
"Romania","2008-2010","14.4","22.6","6.8"
"Romania","2003-2005","12.8","",""
"Slovakia","2008-2010","13.0","20.5","6.1"
"Slovakia","2003-2005","13.7","",""
"Slovenia","2008-2010","11.6","16.3","7.0"
"Slovenia","2003-2005","15.4","",""
"Spain","2008-2010","11.2","15.9","6.7"
"Spain","2003-2005","12.3","",""
"Sweden","2008-2010","9.2","12.9","5.5"
"Sweden","2003-2005","10.3","",""
"United Kingdom","2008-2010","11.6","16.5","6.9"
"United Kingdom","2003-2005","13.2","",""
